name,emmy_year,emmy_title,emmy_desc,grammy_year,grammy_title,grammy_desc,oscar_year,oscar_title,oscar_desc,tony_year,tony_title,tony_desc,completion_year,category
Hugh Jackman,2005,Outstanding Individual Performance in a Variety or Music Program,58th Tony Awards,2019,Best Compilation Soundtrack for Visual Media,The Greatest Showman,,,,2004,Best Actor in a Musical,The Boy from Oz,,Actor/Singer
John Legend,2018,Outstanding Variety Special (Live),Jesus Christ Superstar Live in Concert,2006,Best R&B Album,Get Lifted,2015,Best Original Song ,Glory from Selma,2017,Best Revival of a Play,Jitney,2018,Singer/Composer/Producer
Andrew Lloyd Webber,2018,Outstanding Variety Special (Live),Jesus Christ Superstar Live in Concert,1980,Best Cast Show Album,Evita,1996,Best Original Song,You Must Love Me from Evita,1980,Best Original Score,Evita,2018,Composer/Producer
Tim Rice,2018,Outstanding Variety Special (Live),Jesus Christ Superstar Live in Concert,1980,Best Cast Show Album,Evita,1993,Best Original Song,A Whole New World from Aladdin,1980,Best Original Score,Evita,2018,Lyricist/Producer
Robert Lopez,2008,Outstanding Achievement in Music Direction and Composition,Wonder Pets,2012,Best Musical Theater Album,The Book of Mormon: Original Broadway Cast Recording,2014,Best Original Song,Let It Go from Frozen,2004,Best Original Score,Avenue Q,2014,Composer
Scott Rudin,1984,Outstanding Children's Program,He Makes Me Feel Like Dancin',2012,Best Musical Theater Album,The Book of Mormon: Original Broadway Cast Recording,2008,Best Picture,No Country For Old Men,1994,Best Musical,Passion,2012,Producer
Whoopi Goldberg,2002,Outstanding Special Class Special,Beyond Tara: The Extraordinary Life of Hattie McDaniel (Host),1986,Best Comedy Recording,Whoopi Goldberg: Original Broadway Show Recording,1991,Best Actress in a Supporting Role,Ghost,2002,Best Musical,Thoroughly Modern Millie,2002,Comedian/Actress/Host
Mel Brooks,1967,Outstanding Writing Achievement in Variety ,"The Sid Caesar, Imogene Coca, Carl Reiner, Howard Morris Special",1998,Best Spoken Comedy Album,The 2000 Year Old Man in the Year 2000,1968,Best Writing (Screenplay Written Directly for the Screen),The Producers,2001,Best Book of a Musical ,The Producers,2001,Writer/Composer/Actor
Mike Nichols,2001,"Outstanding Directing for a Miniseries, Movie or a Special",Wit,1961,Best Comedy Performance,An Evening with Mike Nichols and Elaine May,1967,Best Director,The Graduate,1964,"Best Director, Dramatic ",Barefoot in the Park,2001,Director/Comedian
Jonathan Tunick,1982,Outstanding Achievement in Music Direction,Night of 100 Stars,1988,Best Instrumental Arrangement Accompanying Vocals,"No One is Alone, Cleo Laine",1977,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score ",A Little Night Music,1997,Best Orchestrations ,Titanic,1997,Composer/Conductor
Marvin Hamlisch,1995,Outstanding Individual Achievement in Music Direction,Barbra: The Concert,1974,Song of the Year,The Way We Were,1973,"Best Music, Original Dramatic Score",The Way We Were,1976,Best Musical Score ,A Chorus Line,1995,Composer
Audrey Hepburn,1993,"Outstanding Individual Achievement, Informational Programming",Gardens of the World with Audrey Hepburn,1994,Best Spoken Word Album for Children,Audrey Hepburn's Enchanted Tales,1953,Best Actress in a Leading Role,Roman Holiday,1954,Best Actress in a Play,Ondine,1994,Actress
John Gielgud,1991,Outstanding Lead Actor in a Miniseries or Special,Summer's Lease,1979,"Best Spoken Word, Documentary or Drama Recording",Ages of Man,1981,Best Actor in a Supporting Role,Arthur,1961,Outstanding Foreign Company,The Importance of Being Earnest,1991,Actor/Director
Helen Hayes,1953,Best Actress,"Schlitz Playhouse of Stars for the episode ""Not a Chance""",1977,Best Spoken Word Recording,Great American Documents,1932,Best Actress in a Leading Role,The Sin of Madelon Claudet,1947,"Best Actress, Dramatic",Happy Birthday,1977,Actress
Rita Moreno,1977,Outstanding Continuing or Single Performance by a Supporting Actress in Variety or Music,The Muppet Show,1972,Best Recording for Children,The Electric Company,1961,Best Actress in a Supporting Role,West Side Story,1975,Best Featured or Supporting Actress in a Play,The Ritz,1977,Actress/Singer
Richard Rodgers,1962,Outstanding Achievement in Original Music Composed,Winston Churchill: The Valiant Years,1960,Best Show Album (Original Cast),The Sound of Music,1945,Best Song,It Might as Well Be Spring from State Fair,1950,Best Musical,South Pacific,1962,Composer
